parental,clutch,id,dist_px,well_px,well_mm,px/mm,dist_mm,dist_cm,mov
S,1,1,22.55158695,214.72,15.6,13.76,1.64,0.16,2
S,1,2,0,214.72,15.6,13.76,0,0,0
S,1,3,321.7102953,214.72,15.6,13.76,23.37,2.34,13
S,1,4,4.865704291,214.72,15.6,13.76,0.35,0.04,1
S,1,5,409.3575086,214.72,15.6,13.76,29.74,2.97,51
S,2,6,0,216.17,15.6,13.86,0,0,0
S,2,7,0,216.17,15.6,13.86,0,0,0
S,2,8,190.5028071,216.17,15.6,13.86,13.75,1.37,9
S,2,9,51.1423969,216.17,15.6,13.86,3.69,0.37,2
S,2,10,18.8091688,216.17,15.6,13.86,1.36,0.14,1
S,3,11,224.9430352,216.15,15.6,13.86,16.23,1.62,9
S,3,12,0,216.15,15.6,13.86,0,0,0
S,3,13,0,216.15,15.6,13.86,0,0,0
S,3,14,1496.405407,216.15,15.6,13.86,108,10.8,69
S,3,15,100.1065891,216.15,15.6,13.86,7.22,0.72,2
S,4,16,0,216.46,15.6,13.88,0,0,0
S,4,17,5.045502468,216.46,15.6,13.88,0.36,0.04,1
S,4,18,78.35821995,216.46,15.6,13.88,5.65,0.56,4
S,4,19,4144.792771,216.46,15.6,13.88,298.71,29.87,145
S,4,20,251.1096679,216.46,15.6,13.88,18.1,1.81,2
S,5,21,0,215.97,15.6,13.84,0,0,0
S,5,22,32.98167844,215.97,15.6,13.84,2.38,0.24,1
S,5,23,0,215.97,15.6,13.84,0,0,0
S,5,24,64.20759859,215.97,15.6,13.84,4.64,0.46,4
S,5,25,588.0202942,215.97,15.6,13.84,42.47,4.25,5
S,6,26,11642.26351,216.65,15.6,13.89,838.31,83.83,445
S,6,27,3097.57381,216.65,15.6,13.89,223.04,22.3,196
S,6,28,4421.182552,216.65,15.6,13.89,318.35,31.83,285
S,6,29,1019.043512,216.65,15.6,13.89,73.38,7.34,46
S,6,30,48394.69041,216.65,15.6,13.89,3484.69,348.47,320
S,7,31,0,216.05,15.6,13.85,0,0,0
S,7,32,0,216.05,15.6,13.85,0,0,0
S,7,33,36.17778617,216.05,15.6,13.85,2.61,0.26,6
S,7,34,0,216.05,15.6,13.85,0,0,0
S,7,35,0,216.05,15.6,13.85,0,0,0
S,8,36,0,215.38,15.6,13.81,0,0,0
S,8,37,0,215.38,15.6,13.81,0,0,0
S,8,38,581.4696923,215.38,15.6,13.81,42.12,4.21,51
S,8,39,6103.825954,215.38,15.6,13.81,442.1,44.21,200
S,8,40,344.0614856,215.38,15.6,13.81,24.92,2.49,5
E,9,46,0,203.94,15.6,13.07,0,0,0
E,9,47,0,203.94,15.6,13.07,0,0,0
E,9,48,54.54633027,203.94,15.6,13.07,4.17,0.42,6
E,9,49,194.5103998,203.94,15.6,13.07,14.88,1.49,12
E,9,50,0,203.94,15.6,13.07,0,0,0
E,10,51,21.10159379,217.54,15.6,13.94,1.51,0.15,2
E,10,52,68.06461297,217.54,15.6,13.94,4.88,0.49,5
E,10,53,0,217.54,15.6,13.94,0,0,0
E,10,54,10.10118968,217.54,15.6,13.94,0.72,0.07,2
E,10,55,0,217.54,15.6,13.94,0,0,0
E,11,56,0,203.46,15.6,13.04,0,0,0
E,11,57,10.17553993,203.46,15.6,13.04,0.78,0.08,2
E,11,58,5.299469893,203.46,15.6,13.04,0.41,0.04,1
E,11,59,13526.25474,203.46,15.6,13.04,1037.11,103.71,619
E,11,60,0,203.46,15.6,13.04,0,0,0
E,12,61,3789.862065,215.72,15.6,13.83,274.07,27.41,254
E,12,62,3713.754539,215.72,15.6,13.83,268.56,26.86,176
E,12,63,2617.718216,215.72,15.6,13.83,189.3,18.93,205
E,12,64,4541.891847,215.72,15.6,13.83,328.45,32.85,260
E,12,65,0,215.72,15.6,13.83,0,0,0
E,13,66,9713.529887,216.42,15.6,13.87,700.17,70.02,644
E,13,67,4377.580041,216.42,15.6,13.87,315.54,31.55,334
E,13,68,11745.0494,216.42,15.6,13.87,846.61,84.66,758
E,13,69,364.9158967,216.42,15.6,13.87,26.3,2.63,46
E,13,70,717.704567,216.42,15.6,13.87,51.73,5.17,44
E,14,71,15779.64139,216.76,15.6,13.89,1135.64,113.56,417
E,14,72,5426.988642,216.76,15.6,13.89,390.57,39.06,339
E,14,73,0,216.76,15.6,13.89,0,0,0
E,14,74,9526.712283,216.76,15.6,13.89,685.63,68.56,376
E,14,75,2242.057119,216.76,15.6,13.89,161.36,16.14,19
E,15,76,15204.52085,216.54,15.6,13.88,1095.37,109.54,832
E,15,77,5.004675329,216.54,15.6,13.88,0.36,0.04,1
E,15,78,0,216.54,15.6,13.88,0,0,0
E,15,79,23546.88496,216.54,15.6,13.88,1696.37,169.64,1110
E,15,80,10419.17549,216.54,15.6,13.88,750.62,75.06,565
E,16,81,0,217.21,15.6,13.92,0,0,0
E,16,82,3052.489323,217.21,15.6,13.92,219.23,21.92,163
E,16,83,0,217.21,15.6,13.92,0,0,0
E,16,84,0,217.21,15.6,13.92,0,0,0
E,16,85,57513.89298,217.21,15.6,13.92,4130.64,413.06,454
