parental,offspring,clutch,id,dist_px,well_px,well_mm,px/mm,dist_mm,dist_cm,mov
S,S,1,1,6215.353731,432.21,15.6,27.70576923,224.3342778,22.43342778,47
S,S,1,2,166.284198,432.21,15.6,27.70576923,6.001789613,0.600178961,2
S,S,1,3,249.6314871,432.21,15.6,27.70576923,9.010090462,0.901009046,3
S,S,1,4,961.0445488,432.21,15.6,27.70576923,34.68752449,3.468752449,10
S,S,1,5,580.528778,432.21,15.6,27.70576923,20.95335355,2.095335355,5
S,S,2,6,5162.149988,434.54,15.6,27.85512821,185.3213509,18.53213509,41
S,S,2,7,4672.609574,434.54,15.6,27.85512821,167.7468342,16.77468342,22
S,S,2,8,8901.552715,434.54,15.6,27.85512821,319.5660293,31.95660293,58
S,S,2,9,15168.89837,434.54,15.6,27.85512821,544.5639402,54.45639402,51
S,S,2,10,18554.98527,434.54,15.6,27.85512821,666.124569,66.6124569,45
S,S,3,11,17458.99227,433.51,15.6,27.78910256,628.2675819,62.82675819,54
S,S,3,12,122.9011412,433.51,15.6,27.78910256,4.422638008,0.442263801,2
S,S,3,13,149.390084,433.51,15.6,27.78910256,5.375851331,0.537585133,1
S,S,3,14,0,433.51,15.6,27.78910256,0,0,0
S,S,3,15,0,433.51,15.6,27.78910256,0,0,0
S,S,4,16,1918.443319,427.54,15.6,27.40641026,69.999803,6.9999803,13
S,S,4,17,269.2566171,427.54,15.6,27.40641026,9.824585365,0.982458536,3
S,S,4,18,1122.551458,427.54,15.6,27.40641026,40.95944881,4.095944881,5
S,S,4,19,0,427.54,15.6,27.40641026,0,0,0
S,S,4,20,0,427.54,15.6,27.40641026,0,0,0
S,S,5,21,0,432.51,15.6,27.725,0,0,0
S,S,5,22,0,432.51,15.6,27.725,0,0,0
S,S,5,23,110.0272296,432.51,15.6,27.725,3.968520454,0.396852045,2
S,S,5,24,0,432.51,15.6,27.725,0,0,0
S,S,5,25,0,432.51,15.6,27.725,0,0,0
S,S,6,26,4342.634222,424.32,15.6,27.2,159.6556699,15.96556699,25
S,S,6,27,0,424.32,15.6,27.2,0,0,0
S,S,6,28,0,424.32,15.6,27.2,0,0,0
S,S,6,29,0,424.32,15.6,27.2,0,0,0
S,S,6,30,0,424.32,15.6,27.2,0,0,0
S,S,7,31,6455.295049,451.01,15.6,28.91089744,223.2824167,22.32824167,21
S,S,7,32,2783.4927,451.01,15.6,28.91089744,96.27832225,9.627832225,22
S,S,7,33,1549.08833,451.01,15.6,28.91089744,53.58146814,5.358146814,6
S,S,7,34,0,451.01,15.6,28.91089744,0,0,0
S,S,7,35,0,451.01,15.6,28.91089744,0,0,0
S,S,8,36,335.2545191,428.13,15.6,27.44423077,12.21584682,1.221584682,3
S,S,8,37,658.3370232,428.13,15.6,27.44423077,23.98817547,2.398817547,5
S,S,8,38,2080.895912,428.13,15.6,27.44423077,75.82270859,7.582270859,7
S,S,8,39,909.5615992,428.13,15.6,27.44423077,33.14217865,3.314217865,11
S,S,8,40,75.7795295,428.13,15.6,27.44423077,2.761218929,0.276121893,1
S,E,9,41,442.1324698,423.13,15.6,27.12371795,16.30058499,1.630058499,3
S,E,9,42,806.5879778,423.13,15.6,27.12371795,29.73736784,2.973736784,8
S,E,9,43,5230.592991,423.13,15.6,27.12371795,192.8420359,19.28420359,25
S,E,9,44,5499.729007,423.13,15.6,27.12371795,202.76457,20.276457,26
S,E,9,45,8433.902534,423.13,15.6,27.12371795,310.9419789,31.09419789,29
S,E,10,46,850.5002937,426.03,15.6,27.30961538,31.14288802,3.114288802,3
S,E,10,47,2808.594766,426.03,15.6,27.30961538,102.8427067,10.28427067,15
S,E,10,48,7816.751954,426.03,15.6,27.30961538,286.2270978,28.62270978,42
S,E,10,49,1759.079715,426.03,15.6,27.30961538,64.41246756,6.441246756,21
S,E,10,50,5809.637811,426.03,15.6,27.30961538,212.732319,21.2732319,48
S,E,11,51,0,425.04,15.6,27.24615385,0,0,0
S,E,11,52,6965.026059,425.04,15.6,27.24615385,255.6333675,25.56333675,44
S,E,11,53,0,425.04,15.6,27.24615385,0,0,0
S,E,11,54,22965.4625,425.04,15.6,27.24615385,842.888234,84.2888234,52
S,E,11,55,9208.628186,425.04,15.6,27.24615385,337.979013,33.7979013,15
S,E,12,56,779.8977561,438.04,15.6,28.07948718,27.77464386,2.777464386,8
S,E,12,57,0,438.04,15.6,28.07948718,0,0,0
S,E,12,58,1335.499719,438.04,15.6,28.07948718,47.56139991,4.756139991,7
S,E,12,59,1220.041047,438.04,15.6,28.07948718,43.44954875,4.344954875,8
S,E,12,60,245.3628736,438.04,15.6,28.07948718,8.738153658,0.873815366,4
S,E,13,61,190.8670193,436.82,15.6,28.00128205,6.816367156,0.681636716,3
S,E,13,62,441.29213,436.82,15.6,28.00128205,15.75971162,1.575971162,4
S,E,13,63,726.0826907,436.82,15.6,28.00128205,25.93033738,2.593033738,6
S,E,13,64,62.51902654,436.82,15.6,28.00128205,2.232720146,0.223272015,1
S,E,13,65,3718.029612,436.82,15.6,28.00128205,132.7806922,13.27806922,34
S,E,14,66,4005.173367,431.18,15.6,27.63974359,144.9063141,14.49063141,37
S,E,14,67,19848.22469,431.18,15.6,27.63974359,718.1045159,71.81045159,54
S,E,14,68,14957.70477,431.18,15.6,27.63974359,541.1665532,54.11665532,50
S,E,14,69,19496.04712,431.18,15.6,27.63974359,705.3628069,70.53628069,39
S,E,14,70,15682.36394,431.18,15.6,27.63974359,567.3845667,56.73845667,7
S,E,15,71,10429.46628,435.57,15.6,27.92115385,373.5327823,37.35327823,42
S,E,15,72,8101.08994,435.57,15.6,27.92115385,290.1416605,29.01416605,32
S,E,15,73,17374.86838,435.57,15.6,27.92115385,622.2833224,62.22833224,38
S,E,15,74,10603.64847,435.57,15.6,27.92115385,379.7711416,37.97711416,43
S,E,15,75,3953.190641,435.57,15.6,27.92115385,141.5840714,14.15840714,30
S,E,16,76,12836.1556,431.83,15.6,27.68141026,463.7103197,46.37103197,36
S,E,16,77,9695.733888,431.83,15.6,27.68141026,350.2615581,35.02615581,39
S,E,16,78,27255.45281,431.83,15.6,27.68141026,984.6121479,98.46121479,11
S,E,16,79,1099.447633,431.83,15.6,27.68141026,39.71790537,3.971790537,8
S,E,16,80,0,431.83,15.6,27.68141026,0,0,0
E,S,17,81,7796.093109,418,15.6,26.79487179,290.9546711,29.09546711,14
E,S,17,82,0,418,15.6,26.79487179,0,0,0
