F0,F1,parental.id,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16
S,S,1,-0.013556369,0.007806347,0.003488255,-0.002236298,0.006336627,0.004325873,0.017615298,0.001104253,-0.008614213,0.003667154,-0.01408374,-2.44E-05,-0.007017719,-0.007738419,-0.012609127,-0.00581615
S,S,1,0.001986376,0.005584999,0.009274449,-0.001704802,0.003583879,0.000773766,-0.000292642,0.004291447,0.004658229,0.003900927,0.010153826,-0.006447098,-0.006854817,-0.017327545,-0.027942975,0.006678663
S,S,1,0.002992752,0.007507825,0.009890357,-0.00355002,0.003113394,0.000325409,0.006906136,0.003117256,-0.002156413,0.004348371,0.009537295,-0.000125778,-0.014963011,-0.017895859,-0.021662504,0.007407875
S,S,1,-0.007685549,0.009549841,0.006740552,-0.002592148,0.007066472,-0.001554573,0.020311357,0.004231545,-0.000829751,-0.000311067,-0.003350107,-0.002135854,-0.021776568,-0.013037919,-0.026956187,-0.005461376
S,S,1,0.001059404,0.006074948,0.012913093,-0.000544228,0.008909051,-0.000515439,0.018590813,0.003762916,0.017459116,-0.003010432,0.000366969,-0.009243114,-0.013469986,-0.001099595,-0.028621008,-0.003136095
S,S,2,-0.008880117,0.008958404,0.011654476,0.002435482,-0.003879666,-0.001092219,0.000650814,-0.009345633,-0.01331748,-0.002455957,0.020431443,0.005329275,-0.022461928,0.016450989,-0.001127766,-0.005571569
S,S,2,-0.01268004,0.007035568,0.000322993,-0.000341731,0.00486937,-0.002722972,0.005866971,-0.006803134,-0.015157237,-0.000210511,0.013910534,0.004109103,-0.024033766,0.006028966,-0.001595998,-0.006465811
S,S,2,-0.006764248,0.008105207,0.007141409,-0.003370413,0.004536702,0.000970878,0.014806872,-0.00408297,-0.018018782,0.001050601,-0.007396918,0.001195722,-0.017698685,0.019476172,-0.016796735,-0.005024324
S,S,2,-0.002013257,0.009049688,0.012783935,-0.000672652,0.000592973,-0.000464794,0.022430077,-0.000359782,0.007031884,0.003484062,0.001420244,-0.004543126,-0.023455393,0.007680337,-0.034715053,-0.009591918
S,S,2,0.004437439,0.008490715,0.01221677,-0.003584066,0.006270494,-0.004562096,0.010919967,0.000213031,-0.00871966,0.005245399,0.000576455,-0.003816402,-0.005833875,-0.02122403,-0.028788426,0.000457633
S,S,3,-0.00405156,0.009911622,0.00804733,-0.001300661,0.000994603,-0.000987663,0.013357288,0.001008843,-0.021680895,-0.001609149,-0.001186761,-0.000922481,-0.012245467,-0.01341363,-0.020267603,-0.014417939
S,S,3,-0.001803822,0.007639239,-0.003636229,-0.00290968,-0.000154586,-0.000144185,0.010647343,0.005875363,-0.024610017,0.004766964,-0.007076911,-0.009347444,-0.026412288,-0.016011961,-0.028613111,-0.002199866
S,S,3,-0.00727049,0.007761321,0.011515926,0.000773058,-0.007955746,-0.002874352,0.016082754,0.001885777,0.005906081,-0.00282724,0.004457771,-0.004724658,-0.012260701,0.008205791,-0.033246181,-0.000668675
S,S,3,0.00067074,0.006471611,0.010433218,0.000837837,0.005491917,-0.001917531,0.008973267,0.005984569,-0.00300818,-0.0006177,-0.010236335,0.002950983,0.000388343,-0.021305706,-0.020413411,-0.003183927
S,S,3,0.002805231,-0.000857742,-0.003237346,0.000196061,-0.001853704,-0.000582835,-0.005777655,0.00108864,0.004285257,-0.000481318,-0.002605872,-0.000981022,-0.005662457,0.013627223,-9.01E-06,-0.013520544
S,S,4,0.007443237,0.001548796,0.000440968,0.003509664,-0.005927704,0.003757282,0.017961978,0.007009645,-0.000572753,-0.002369069,-0.005838191,-0.00901043,0.006970637,0.021919244,-0.003990957,0.003217442
S,S,4,-0.000940674,0.000124642,0.002430852,0.001512718,-0.004028093,-0.001748252,0.000201891,0.003075768,0.002239839,0.001711902,-0.000488904,0.00174405,0.003244046,-0.008837624,-0.012106004,-0.014804855
S,S,4,-0.000684814,0.001456738,-0.004594114,0.000107021,0.001578276,0.000209457,0.008553978,0.004394722,0.002766086,0.001231894,-0.02051847,-0.00630785,-0.005622851,-0.007077672,0.003910234,-0.00806996
S,S,4,-0.006296392,0.003086747,0.002212265,0.002297218,0.00554065,-0.001440988,0.02062077,0.006622643,-0.006951777,-0.004578203,-0.004365503,-0.006464059,-0.00346772,-0.022499011,-0.029474835,0.003600174
S,S,5,0.003816245,0.000543142,-0.006704682,-0.000922226,-0.001714866,0.000987441,-0.001689145,0.00224891,-0.021183251,0.000633004,-0.003193842,-0.002560474,-0.009077606,0.000639712,0.003371325,-0.001159571
