g_treat,p_treat,g_id,p_id,m_id,gp_treat,dist_px,well_px,well_mm,px/mm,dist_mm,dist_cm,mov,bin
S,S,1,1,1,SS,6215.353731,432.21,15.6,27.70576923,224.3342778,22.43342778,47,1
S,S,1,1,1,SS,166.284198,432.21,15.6,27.70576923,6.001789613,0.600178961,2,1
S,S,1,1,1,SS,249.6314871,432.21,15.6,27.70576923,9.010090462,0.901009046,3,1
S,S,1,1,1,SS,961.0445488,432.21,15.6,27.70576923,34.68752449,3.468752449,10,1
S,S,1,1,1,SS,580.528778,432.21,15.6,27.70576923,20.95335355,2.095335355,5,1
S,S,2,2,2,SS,5162.149988,434.54,15.6,27.85512821,185.3213509,18.53213509,41,1
S,S,2,2,2,SS,4672.609574,434.54,15.6,27.85512821,167.7468342,16.77468342,22,1
S,S,2,2,2,SS,8901.552715,434.54,15.6,27.85512821,319.5660293,31.95660293,58,1
S,S,2,2,2,SS,15168.89837,434.54,15.6,27.85512821,544.5639402,54.45639402,51,1
S,S,2,2,2,SS,18554.98527,434.54,15.6,27.85512821,666.124569,66.6124569,45,1
S,S,3,3,3,SS,17458.99227,433.51,15.6,27.78910256,628.2675819,62.82675819,54,1
S,S,3,3,3,SS,122.9011412,433.51,15.6,27.78910256,4.422638008,0.442263801,2,1
S,S,3,3,3,SS,149.390084,433.51,15.6,27.78910256,5.375851331,0.537585133,1,1
S,S,3,3,3,SS,0,433.51,15.6,27.78910256,0,0,0,0
S,S,3,3,3,SS,0,433.51,15.6,27.78910256,0,0,0,0
S,S,4,4,4,SS,1918.443319,427.54,15.6,27.40641026,69.999803,6.9999803,13,1
S,S,4,4,4,SS,269.2566171,427.54,15.6,27.40641026,9.824585365,0.982458536,3,1
S,S,4,4,4,SS,1122.551458,427.54,15.6,27.40641026,40.95944881,4.095944881,5,1
S,S,4,4,4,SS,0,427.54,15.6,27.40641026,0,0,0,0
S,S,4,4,4,SS,0,427.54,15.6,27.40641026,0,0,0,0
S,S,5,5,5,SS,0,432.51,15.6,27.725,0,0,0,0
S,S,5,5,5,SS,0,432.51,15.6,27.725,0,0,0,0
S,S,5,5,5,SS,110.0272296,432.51,15.6,27.725,3.968520454,0.396852045,2,1
S,S,5,5,5,SS,0,432.51,15.6,27.725,0,0,0,0
S,S,5,5,5,SS,0,432.51,15.6,27.725,0,0,0,0
S,S,6,6,6,SS,4342.634222,424.32,15.6,27.2,159.6556699,15.96556699,25,1
S,S,6,6,6,SS,0,424.32,15.6,27.2,0,0,0,0
S,S,6,6,6,SS,0,424.32,15.6,27.2,0,0,0,0
S,S,6,6,6,SS,0,424.32,15.6,27.2,0,0,0,0
S,S,6,6,6,SS,0,424.32,15.6,27.2,0,0,0,0
S,S,7,7,7,SS,6455.295049,451.01,15.6,28.91089744,223.2824167,22.32824167,21,1
S,S,7,7,7,SS,2783.4927,451.01,15.6,28.91089744,96.27832225,9.627832225,22,1
S,S,7,7,7,SS,1549.08833,451.01,15.6,28.91089744,53.58146814,5.358146814,6,1
S,S,7,7,7,SS,0,451.01,15.6,28.91089744,0,0,0,0
S,S,7,7,7,SS,0,451.01,15.6,28.91089744,0,0,0,0
S,S,8,8,8,SS,335.2545191,428.13,15.6,27.44423077,12.21584682,1.221584682,3,1
S,S,8,8,8,SS,658.3370232,428.13,15.6,27.44423077,23.98817547,2.398817547,5,1
S,S,8,8,8,SS,2080.895912,428.13,15.6,27.44423077,75.82270859,7.582270859,7,1
S,S,8,8,8,SS,909.5615992,428.13,15.6,27.44423077,33.14217865,3.314217865,11,1
S,S,8,8,8,SS,75.7795295,428.13,15.6,27.44423077,2.761218929,0.276121893,1,1
S,E,1,9,1,SE,442.1324698,423.13,15.6,27.12371795,16.30058499,1.630058499,3,1
S,E,1,9,1,SE,806.5879778,423.13,15.6,27.12371795,29.73736784,2.973736784,8,1
S,E,1,9,1,SE,5230.592991,423.13,15.6,27.12371795,192.8420359,19.28420359,25,1
S,E,1,9,1,SE,5499.729007,423.13,15.6,27.12371795,202.76457,20.276457,26,1
S,E,1,9,1,SE,8433.902534,423.13,15.6,27.12371795,310.9419789,31.09419789,29,1
S,E,2,10,2,SE,850.5002937,426.03,15.6,27.30961538,31.14288802,3.114288802,3,1
S,E,2,10,2,SE,2808.594766,426.03,15.6,27.30961538,102.8427067,10.28427067,15,1
S,E,2,10,2,SE,7816.751954,426.03,15.6,27.30961538,286.2270978,28.62270978,42,1
S,E,2,10,2,SE,1759.079715,426.03,15.6,27.30961538,64.41246756,6.441246756,21,1
S,E,2,10,2,SE,5809.637811,426.03,15.6,27.30961538,212.732319,21.2732319,48,1
S,E,3,11,3,SE,0,425.04,15.6,27.24615385,0,0,0,0
S,E,3,11,3,SE,6965.026059,425.04,15.6,27.24615385,255.6333675,25.56333675,44,1
S,E,3,11,3,SE,0,425.04,15.6,27.24615385,0,0,0,0
S,E,3,11,3,SE,22965.4625,425.04,15.6,27.24615385,842.888234,84.2888234,52,1
S,E,3,11,3,SE,9208.628186,425.04,15.6,27.24615385,337.979013,33.7979013,15,1
S,E,4,12,4,SE,779.8977561,438.04,15.6,28.07948718,27.77464386,2.777464386,8,1
S,E,4,12,4,SE,0,438.04,15.6,28.07948718,0,0,0,0
S,E,4,12,4,SE,1335.499719,438.04,15.6,28.07948718,47.56139991,4.756139991,7,1
S,E,4,12,4,SE,1220.041047,438.04,15.6,28.07948718,43.44954875,4.344954875,8,1
S,E,4,12,4,SE,245.3628736,438.04,15.6,28.07948718,8.738153658,0.873815366,4,1
S,E,5,13,5,SE,190.8670193,436.82,15.6,28.00128205,6.816367156,0.681636716,3,1
S,E,5,13,5,SE,441.29213,436.82,15.6,28.00128205,15.75971162,1.575971162,4,1
S,E,5,13,5,SE,726.0826907,436.82,15.6,28.00128205,25.93033738,2.593033738,6,1
S,E,5,13,5,SE,62.51902654,436.82,15.6,28.00128205,2.232720146,0.223272015,1,1
S,E,5,13,5,SE,3718.029612,436.82,15.6,28.00128205,132.7806922,13.27806922,34,1
S,E,6,14,6,SE,4005.173367,431.18,15.6,27.63974359,144.9063141,14.49063141,37,1
S,E,6,14,6,SE,19848.22469,431.18,15.6,27.63974359,718.1045159,71.81045159,54,1
S,E,6,14,6,SE,14957.70477,431.18,15.6,27.63974359,541.1665532,54.11665532,50,1
S,E,6,14,6,SE,19496.04712,431.18,15.6,27.63974359,705.3628069,70.53628069,39,1
S,E,6,14,6,SE,15682.36394,431.18,15.6,27.63974359,567.3845667,56.73845667,7,1
S,E,7,15,7,SE,10429.46628,435.57,15.6,27.92115385,373.5327823,37.35327823,42,1
S,E,7,15,7,SE,8101.08994,435.57,15.6,27.92115385,290.1416605,29.01416605,32,1
S,E,7,15,7,SE,17374.86838,435.57,15.6,27.92115385,622.2833224,62.22833224,38,1
S,E,7,15,7,SE,10603.64847,435.57,15.6,27.92115385,379.7711416,37.97711416,43,1
S,E,7,15,7,SE,3953.190641,435.57,15.6,27.92115385,141.5840714,14.15840714,30,1
S,E,8,16,8,SE,12836.1556,431.83,15.6,27.68141026,463.7103197,46.37103197,36,1
S,E,8,16,8,SE,9695.733888,431.83,15.6,27.68141026,350.2615581,35.02615581,39,1
S,E,8,16,8,SE,27255.45281,431.83,15.6,27.68141026,984.6121479,98.46121479,11,1
S,E,8,16,8,SE,1099.447633,431.83,15.6,27.68141026,39.71790537,3.971790537,8,1
S,E,8,16,8,SE,0,431.83,15.6,27.68141026,0,0,0,0
E,S,9,17,1,ES,7796.093109,418,15.6,26.79487179,290.9546711,29.09546711,14,1
E,S,9,17,1,ES,0,418,15.6,26.79487179,0,0,0,0
E,S,9,17,1,ES,6301.069765,418,15.6,26.79487179,235.1595415,23.51595415,18,1
E,S,9,17,1,ES,55.40677776,418,15.6,26.79487179,2.067812759,0.206781276,1,1
E,S,9,17,1,ES,0,418,15.6,26.79487179,0,0,0,0
E,S,10,18,2,ES,2497.581784,420.44,15.6,26.95128205,92.6702403,9.26702403,9,1
E,S,10,18,2,ES,1339.730494,420.44,15.6,26.95128205,49.7093419,4.97093419,4,1
E,S,10,18,2,ES,4827.082815,420.44,15.6,26.95128205,179.1040146,17.91040146,14,1
E,S,10,18,2,ES,0,420.44,15.6,26.95128205,0,0,0,0
E,S,10,18,2,ES,0,420.44,15.6,26.95128205,0,0,0,0
E,S,11,19,3,ES,0,433.01,15.6,27.75705128,0,0,0,0
